 ###############
  -2.69880376380900       0.000000000000000E+000   2.69880376380900
  0.000000000000000E+000   2.69880376380900        2.69880376380900
  -2.69880376380900        2.69880376380900       0.000000000000000E+000
           8
          93
    4    6    2    2    2    1    2    2    1    1    2    6    2    2    2
    6    2    2    4    1    1    1    4    1    1    1    1    2    1    1
    1    2    2    1    1    2    4    2    1    2    1    1    1    1    2
    1    1    1    2    1    1    1    1    2    1    2    4    2    1    1
    2    2    1    1    1    2    1    1    1    1    4    1    1    1    4
    2    2    6    2    2    2    6    2    1    1    2    2    1    2    2
    2    6    4

   -3    1    1
    3    7    0.10228704E-01 -0.53498197E-07
    4    7   -0.21166064E-01  0.14980969E-06
    5    7   -0.11740737E-01 -0.29702596E-07
    6    7    0.11740737E-01  0.41776349E-07
    7    7   -0.53966050E-02  0.39219996E-15
    8    7    0.10851130E+00  0.69937386E-06
    1    8    0.40015838E-01 -0.57635846E-06
    2    8   -0.23201682E-01  0.20151824E-06
    3    8   -0.11617001E-01  0.13598844E-06
    4    8   -0.23201683E-01  0.31710147E-06
    5    8    0.11740737E-01 -0.44019095E-07
    6    8   -0.11740741E-01  0.33000660E-07
    7    8    0.10851130E+00 -0.69937386E-06
    8    8   -0.53966106E-02  0.38134833E-15

   -2    0    1
    1    1    0.81927582E-02 -0.50795310E-09
    2    1    0.56411839E-01  0.30910196E-06
    3    1    0.56411838E-01  0.15450149E-06
    4    1   -0.49067735E-01 -0.42963932E-07
    5    1   -0.17793303E-01 -0.18753456E-06
    6    1   -0.29015932E-01 -0.33867853E-06
    7    1   -0.29015934E-01 -0.22771588E-06
    8    1   -0.22589713E-01 -0.32338494E-06
    1    2   -0.78545916E-02  0.41989021E-07
    2    2   -0.15696267E-01  0.45938104E-08
    3    2   -0.12981770E-01  0.38294020E-07
    4    2    0.24992007E-01 -0.12027193E-06
    5    2   -0.17793303E-01 -0.87408610E-07
    6    2    0.22589711E-01  0.13750871E-06
    7    2   -0.29015933E-01 -0.69874568E-07
    8    2    0.29015935E-01  0.25555188E-06
    1    3   -0.78545911E-02  0.23061566E-07
    2    3   -0.12981766E-01 -0.35448451E-07
    3    3   -0.15696266E-01 -0.32692106E-08
    4    3    0.24992008E-01 -0.44912312E-07
    5    3   -0.17793300E-01 -0.14263710E-06
    6    3   -0.29015934E-01 -0.25743351E-06
    7    3    0.22589712E-01  0.11424324E-06
    8    3    0.29015932E-01  0.34044028E-06
    1    4   -0.15193231E-01  0.10349896E-07
    2    4    0.35512033E-01  0.16271971E-06
    3    4    0.35512031E-01  0.68056248E-07
